REPORT_NO,CONTRIB_TYPE,CONTRIB_CODE,PERSON_ID,VEHICLE_ID
MSP5793001K,Person,11,75d3c989-88bb-4bca-84ec-f3ee50e39eb8,
MSP6005000N,Person,00,1027d744-e97b-4e66-b206-a079a3cfc0b0,
MSP6005000N,Person,00,8bce1fe2-eb9e-4085-a1bc-50b76e61cd20,
DB0048000D,Person,07,5faf1d27-91af-4b5c-8842-61fb9c9a960b,
DB0048000D,Person,25,5faf1d27-91af-4b5c-8842-61fb9c9a960b,
MSP53960012,Person,00,d27e3956-91f5-4af2-b581-78612ac50cfc,
CB5458000B,Person,21,6db23b99-1613-4e21-9e93-4dacfec381c7,
MSP53560015,Person,07,dab29e2a-431d-4d4a-ace2-cbf665ea80e2,
MSP53560015,Person,60.88,dab29e2a-431d-4d4a-ace2-cbf665ea80e2,
MSP53560015,Person,39.88,dab29e2a-431d-4d4a-ace2-cbf665ea80e2,
MSP5800003D,Person,00,b904e024-4f43-4de1-99f5-1e4d7d4fc546,
MSP22680021,Person,24,1dad2830-53d5-4f5d-a9a1-1f34645f8fbd,
MSP22680021,Person,22,1dad2830-53d5-4f5d-a9a1-1f34645f8fbd,
MSP22680021,Person,21,1dad2830-53d5-4f5d-a9a1-1f34645f8fbd,
MSP22680021,Person,07,1dad2830-53d5-4f5d-a9a1-1f34645f8fbd,
MSP22680021,Person,09,1dad2830-53d5-4f5d-a9a1-1f34645f8fbd,
MSP22680021,Person,00,dde3b7a3-d7b6-407f-9ca7-6d399238c051,
MSP64910008,Person,00,41b96746-12f1-40d2-9581-04a1ead9e556,
CB5808000M,Person,00,f7de2221-f5cc-4c75-bdd2-56dca17963e3,
DA3949000J,Person,00,8c11c26d-7445-44a0-a566-9f0ffcb1df17,
MSP6044002C,Person,07,8d812251-07b1-4ae7-afbe-38d9e18ca5a7,
MSP6044002C,Person,21,8d812251-07b1-4ae7-afbe-38d9e18ca5a7,
MSP6044002C,Person,22,8d812251-07b1-4ae7-afbe-38d9e18ca5a7,
MSP6044002C,Person,00,41c94657-67a9-4150-ba68-30862b534ab7,
ZD5982000Y,Person,00,4ee6b91e-563a-4b50-9a75-884e38bdb707,
CE4573000G,Person,00,d98a1dff-3533-40a1-b9d6-5acf3d892766,
MDTA14590008,Person,00,8048f90b-35ae-407c-a205-7fb8bf87984d,
MCP2444000V,Person,26,2778e3a2-52da-4ee0-8d5a-1c59e4783d3a,
MCP2444000V,Person,07,2778e3a2-52da-4ee0-8d5a-1c59e4783d3a,
MSP6226001F,Person,00,f1a2519f-fa81-464b-a16a-a18c9e02fc8f,
DA21070006,Person,00,2271ce9d-48dc-478d-9d95-01b937a54d38,
MSP5953003J,Person,00,6b3e98e3-9104-4bbe-9ac4-e8cdd215dbff,
MCP2914001F,Person,00,c5412771-953d-416c-bd45-1ede7840782c,
AB43610009,Person,09,d5688b1a-1ab1-4e1f-9a42-c0d03c79207e,
AB43610009,Person,08,d5688b1a-1ab1-4e1f-9a42-c0d03c79207e,
AB43610009,Person,07,d5688b1a-1ab1-4e1f-9a42-c0d03c79207e,
DS03540006,Person,07,4feb50bd-469f-451f-bcfb-6b48d353a821,
DS03540006,Person,11,4feb50bd-469f-451f-bcfb-6b48d353a821,
DS03540006,Person,60.88,4feb50bd-469f-451f-bcfb-6b48d353a821,
MCP11190011,Person,00,75b1e4cd-d416-4ccb-a5c0-0a108cc85ab0,
AE5675000H,Person,15,d7b12194-e02f-49e3-aca2-42a25cf8516f,
AE5675000H,Person,09,d7b12194-e02f-49e3-aca2-42a25cf8516f,
AE5675000H,Person,07,d7b12194-e02f-49e3-aca2-42a25cf8516f,
ZA05030001,Person,00,ecb7ee32-f9d6-4e92-81a1-3c2966148793,
MSP6092008N,Person,00,429e1139-da7a-4f18-b8c4-104b5c80e170,
AE5141000J,Person,00,e6dc86ec-a1ec-46d6-91b4-20092e542d6b,
AE5141000J,Person,00,d4521081-96bd-4036-9995-ff0342521918,
DA30590006,Person,00,64b684eb-499c-4268-bf17-4bdcfa509fc6,
MSP63790010,Person,00,19212bb9-6960-488f-ab58-6ce36c5b7d0e,
MCP28810014,Person,21,6db3f065-bf77-4364-ae38-270807e6e8c3,
MCP28810014,Person,70.88,6db3f065-bf77-4364-ae38-270807e6e8c3,
MSP63790010,Person,11,f1cf4ba7-a17c-46e9-9bb9-bbbf9e628284,
AC1866001H,Person,11,cd5b8ce4-d1c8-4268-9e68-a595a4fb0101,
AC1866001H,Person,00,84645e30-ae71-4358-8685-7b91ba45e171,
ADJ385000L,Person,00,abff015d-f2bc-4ec4-8555-0b14d2e5da9f,
MSP61690019,Person,11,1df64957-6a4a-49ec-9c10-dc5cecc60270,
ADI553000G,Person,00,5f0b2178-41db-4428-87c8-8794e18da4dc,
ADI553000G,Person,00,220b1810-c754-460a-a2e5-79d8f407502b,
DA3790000C,Person,00,9bf8f2f2-a153-4853-a073-5f5c4aa08aff,
DD5607001H,Person,00,f4ebf11e-8b7c-476d-92b6-ca3e9375314f,
DD5607001H,Person,00,4fa2a865-f804-4c3e-ac14-93dd83ff1a2e,
AE5254000S,Person,00,2a0fa627-7452-4884-ac0f-63d47b3f899f,
BK0181000N,Person,23,7af408a1-98bd-4212-890b-9299e3ec5947,
BK0181000N,Person,07,7af408a1-98bd-4212-890b-9299e3ec5947,
MCP2617000Q,Person,60.88,06861034-568c-437d-bc25-1d51023cb6b8,
MDTA13890001,Person,00,78ffbd92-915b-4a04-ba6c-b96b6fe6533d,
MSP6514000X,Person,00,6a940aa9-aaca-435a-91e0-4100c8b017cb,
DA39180009,Person,07,867e3b9e-889a-4e47-ba02-be63bb6d7e78,
DA39180009,Person,09,867e3b9e-889a-4e47-ba02-be63bb6d7e78,
AE5005000C,Person,00,19c4ce54-3687-480c-a1eb-11dd5c247ec8,
MSP59260016,Person,00,83681a32-28db-43ad-bbbb-4ec476d5fab6,
MSP59260016,Person,24,ce9c01bf-dbf9-41bd-8c6f-0a02766b55bd,
MSP59260016,Person,09,ce9c01bf-dbf9-41bd-8c6f-0a02766b55bd,
MSP59260016,Person,07,ce9c01bf-dbf9-41bd-8c6f-0a02766b55bd,
AE5560000B,Person,00,5af5cc72-44fe-4e06-b7c1-19f058d1fd36,
AC1338001G,Person,73.88,4b3feb79-c63c-4301-8ae3-3fe10b6a359a,
AC1338001G,Person,74.88,4b3feb79-c63c-4301-8ae3-3fe10b6a359a,
AC1338001G,Person,21,4b3feb79-c63c-4301-8ae3-3fe10b6a359a,
AC1338001G,Person,24,4b3feb79-c63c-4301-8ae3-3fe10b6a359a,
MCP2954000M,Person,25,62be4a1e-26aa-42fc-b366-d4ab1bad16ac,
DA37790009,Person,60.88,f1ca012e-ee1e-4f64-8650-e89c03d7e3f5,
DA37790009,Person,24,f1ca012e-ee1e-4f64-8650-e89c03d7e3f5,
DA37790009,Person,11,f1ca012e-ee1e-4f64-8650-e89c03d7e3f5,
DA37790009,Person,07,f1ca012e-ee1e-4f64-8650-e89c03d7e3f5,
ADJ649000D,Person,16,ee1cbffc-44e1-45e7-9359-e1b083aac06a,
AE43790034,Person,00,68d51b33-f2ba-436e-968c-63877e7a88ad,
AE43790034,Person,24,bdd4f0b7-646e-4bf1-8b26-8f2e55a36fc1,
AE43790034,Person,09,bdd4f0b7-646e-4bf1-8b26-8f2e55a36fc1,
DE21250001,Person,70.88,9804fbbf-6341-4e3e-acf4-3043cc6ad6a6,
AC16680011,Person,00,668f55b8-d1f7-471e-84c3-3e819d0130ce,
AC16680011,Person,11,b3abe5e3-399b-49fd-b75d-e730abe72c59,
ZL0837000F,Person,00,9b4c2929-8f55-4186-84fc-4897f83f6139,
ADF4080004,Person,00,1c8cf3d7-220f-4d7e-8a12-9ae55a1f4b06,
ADI6200006,Person,07,b06d5d8a-17e7-43c8-a5c5-7d2c7e8e9b9f,
MCP2782000V,Person,39.88,097db987-adbe-46df-96a3-d91faef0e2f0,
MCP2782000V,Person,23,097db987-adbe-46df-96a3-d91faef0e2f0,
MSP5331000G,Person,07,54221b6b-380e-4e5e-a41c-f6764ab45f48,
MSP5331000G,Person,11,54221b6b-380e-4e5e-a41c-f6764ab45f48,
MSP5331000G,Person,00,260f2588-bf2a-469f-bac7-59838fea4024,
AE5275000L,Person,13,3bd34a46-918d-45ab-af2f-c62f01c8b9e0,
BJ01650014,Person,11,dcfa5585-4029-4374-8b34-09977ddc88a9,
BJ01650014,Person,07,dcfa5585-4029-4374-8b34-09977ddc88a9,
AE5275000L,Person,00,68cb2826-fb50-48e1-9b91-6f94f62d7a6f,
AE4569000P,Person,00,5afe0b0c-8541-4c7c-afc8-5babb858fc01,
MCP2871001H,Person,00,e304ad74-4007-4fd1-a744-e6593d3d85c1,
MSP59260018,Person,00,e73c2bf6-e0f3-42f0-9cc1-bba5ebd7536e,
AC1998001C,Person,12,3864e5a1-c39f-4eed-afd3-bbb57f57ca42,
MSP5093002R,Person,60.88,f0df6e0a-49d9-452d-b5ef-a1108d9e531a,
MSP5093002R,Person,07,f0df6e0a-49d9-452d-b5ef-a1108d9e531a,
MSP5093002R,Person,11,f0df6e0a-49d9-452d-b5ef-a1108d9e531a,
DA3649000C,Person,07,5194f022-edfc-4e2d-9eb8-6d2e9d7f085b,
DA3649000C,Person,07,32d9a6ec-9459-48d9-a778-3c92eb6049d8,
BK01790005,Person,07,ae0e675e-523e-4625-98af-f57ea8cc4f86,
MSP57800033,Person,00,49ec1672-38f7-4d62-a5de-cdffdb75f203,
ZU52880002,Person,60.88,4550e455-28c7-4680-a248-b7833aa1f32f,
ZU52880002,Person,07,4550e455-28c7-4680-a248-b7833aa1f32f,
ZU52880002,Person,09,4550e455-28c7-4680-a248-b7833aa1f32f,
